2026-05-03 23:51:16 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 92)
2026-05-03 23:51:19 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.5947 params={'model__C': 10, 'model__gamma': 0.003}
2026-05-03 23:51:19 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-03 23:51:22 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.6026, f1=0.7618, pr_auc=0.8634 inner_best_params={'model__C': 10, 'model__gamma': 0.003}
2026-05-03 23:51:22 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=svm_rbf target=roi_gt_2 task=classification
2026-05-03 23:51:22 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 92)
2026-05-03 23:51:24 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.6347 params={'model__C': 30, 'model__gamma': 0.001}
2026-05-03 23:51:24 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-03 23:51:27 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6346, f1=0.6728, pr_auc=0.7506 inner_best_params={'model__C': 30, 'model__gamma': 0.001}
2026-05-03 23:51:27 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_svm_rbf dir=runs/phase_4/20260503_2351_standalone_positive_union_svm_rbf
2026-05-03 23:51:27 | INFO    | src.models.phase4.benchmark | Wrote benchmark table (288 rows) and paired table (144 rows)
2026-05-03 23:51:27 | INFO    | src.models.phase4.benchmark | Saved Phase 4 winner for log_roi: /Users/ChloeTabourian/Documents/University/AUB Grad/MSBA 315 - Predictive Analytics & Machine Learning/ML_Final_Project/data/processed/phase4_primary_model_log_roi.joblib
2026-05-03 23:51:27 | INFO    | src.models.phase4.benchmark | Saved Phase 4 winner for roi_gt_1: /Users/ChloeTabourian/Documents/University/AUB Grad/MSBA 315 - Predictive Analytics & Machine Learning/ML_Final_Project/data/processed/phase4_primary_model_roi_gt_1.joblib
2026-05-03 23:51:27 | INFO    | src.models.phase4.benchmark | Saved Phase 4 winner for roi_gt_2: /Users/ChloeTabourian/Documents/University/AUB Grad/MSBA 315 - Predictive Analytics & Machine Learning/ML_Final_Project/data/processed/phase4_primary_model_roi_gt_2.joblib
2026-05-03 23:51:27 | INFO    | __main__ | Phase 4 benchmark complete.
2026-05-03 23:51:27 | INFO    | __main__ | Winners per target:
2026-05-03 23:51:27 | INFO    | __main__ |   log_roi: random_forest on all_five (OOF cvrmse=0.9762, mae=0.9335, mse=1.7303, rmse=1.3154)
2026-05-03 23:51:27 | INFO    | __main__ |   roi_gt_1: random_forest on standalone_positive_union (OOF auc_roc=0.6159, f1=0.8937, log_loss=0.4756, pr_auc=0.8661)
2026-05-03 23:51:27 | INFO    | __main__ |   roi_gt_2: svm_rbf on standalone_positive_union (OOF auc_roc=0.6346, f1=0.6728, pr_auc=0.7506)
